Id,RP,MD,RB,VB,DT,NN,IN,NNP,PRP,VBP,JJ,VBG,CC,JJS,VBN,T,VBZ,JJR,``,'',.,NNS,VBD,PDT,CD,POS,WDT,TO,B,PRP$,:,EX,RBR,(,),NS,J,N,RBS,WRB,WP,NP,Clase
1,0.47712125471966244,0.47712125471966244,0.1864437202465333,0.22184874961635637,0.4845500650402821,0.0,0.059926446754886405,0.3521825181113625,0.3521825181113625,0.2693971477949123,0.19382002601611284,0.27300127206373764,0.13469857389745615,0.5740312677277188,0.3309932190414244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
2,0.0,0.0,0.0,0.0,0.3876400520322257,0.0,0.17977934026465922,0.5282737771670437,0.0,0.0,0.19382002601611284,0.5460025441274753,0.0,0.0,0.0,0.3979400086720376,0.13469857389745615,0.6989700043360189,0.8750612633917001,0.8750612633917001,0.19382002601611284,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
3,0.47712125471966244,0.0,0.1864437202465333,0.22184874961635637,0.9691001300805642,0.0,0.08988967013232961,0.3521825181113625,0.3521825181113625,0.13469857389745615,0.5814600780483385,0.5460025441274753,0.13469857389745615,0.0,0.0,0.3979400086720376,0.0,0.0,0.0,0.0,0.4845500650402821,0.2907300390241693,1.638007632382426,0.8750612633917001,0.9929796571242733,1.1760912590556813,0.8750612633917001,0.3309932190414244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
4,0.0,0.0,0.12429581349768887,0.22184874961635637,0.0,0.0,0.029963223377443202,0.704365036222725,0.0,0.0,0.09691001300805642,0.0,0.13469857389745615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907300390241693,0.0,0.27300127206373764,0.0,0.0,0.0,0.0,0.3309932190414244,0.8750612633917001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
5,0.0,0.0,0.062147906748844434,0.0,0.19382002601611284,0.0,0.08988967013232961,0.0,0.0,0.2693971477949123,0.19382002601611284,0.27300127206373764,0.13469857389745615,0.5740312677277188,0.0,0.3979400086720376,0.2693971477949123,0.6989700043360189,0.0,0.0,0.09691001300805642,0.2907300390241693,0.0,0.0,0.3309932190414244,0.0,0.0,0.0,0.0,1.1480625354554377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
6,0.0,0.0,0.12429581349768887,0.0,0.0,0.0,0.0,0.0,0.0,0.13469857389745615,0.19382002601611284,0.0,0.0,0.0,0.0,0.3979400086720376,0.13469857389745615,0.0,0.0,0.0,0.0,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7501225267834002,1.1760912590556813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negativo
7,0.9542425094393249,1.4313637641589874,1.1186623214791998,1.3310924976981382,0.7752801040644514,0.0,0.3295954571518752,0.0,1.9370038496124935,0.40409572169236846,0.6783700910563949,0.27300127206373764,0.40409572169236846,0.0,0.6619864380828488,0.0,0.6734928694872808,0.0,0.0,0.0,0.09691001300805642,0.19382002601611284,0.5460025441274753,0.0,0.6619864380828488,0.0,0.0,0.6619864380828488,0.8750612633917001,1.1480625354554377,0.0,0.0,2.6251837901751003,2.3521825181113627,2.3521825181113627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
8,0.47712125471966244,1.4313637641589874,0.6836269742372888,1.3310924976981382,0.5814600780483385,0.0,0.11985289350977281,0.5282737771670437,1.2326388133897686,0.13469857389745615,0.3876400520322257,0.819003816191213,0.40409572169236846,0.0,0.3309932190414244,0.3979400086720376,0.2693971477949123,0.0,0.0,0.0,0.5814600780483385,0.2907300390241693,0.5460025441274753,0.0,0.3309932190414244,0.0,0.0,0.3309932190414244,0.0,0.0,0.8750612633917001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
9,0.0,0.0,0.1864437202465333,0.0,0.0,0.0,0.029963223377443202,0.17609125905568124,0.17609125905568124,0.13469857389745615,0.0,0.0,0.13469857389745615,0.0,0.0,0.0,0.13469857389745615,0.0,0.0,0.0,0.19382002601611284,0.09691001300805642,0.27300127206373764,0.0,0.3309932190414244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1760912590556813,0.0,0.0,0.0,0.0,0.0,0.0,Positivo
10,0.0,0.0,0.24859162699537773,0.44369749923271273,0.6783700910563949,0.0,0.08988967013232961,0.5282737771670437,0.3521825181113625,0.13469857389745615,0.19382002601611284,0.27300127206373764,0.40409572169236846,0.0,0.0,0.0,0.40409572169236846,0.0,0.8750612633917001,0.8750612633917001,0.19382002601611284,0.0,0.27300127206373764,0.0,0.0,0.0,0.8750612633917001,0.6619864380828488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1760912590556813,0.0,0.0,0.0,0.0,0.0,Positivo
11,0.0,0.0,0.1864437202465333,0.22184874961635637,0.7752801040644514,0.0,0.059926446754886405,0.3521825181113625,0.3521825181113625,0.2693971477949123,0.4845500650402821,0.27300127206373764,0.40409572169236846,1.1480625354554377,0.3309932190414244,0.0,0.0,0.0,0.0,0.0,0.2907300390241693,0.3876400520322257,0.819003816191213,0.0,0.3309932190414244,0.0,0.0,0.3309932190414244,0.0,1.1480625354554377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750612633917001,1.1760912590556813,0.8750612633917001,0.0,0.0,Negativo
12,0.0,0.47712125471966244,0.24859162699537773,0.44369749923271273,0.8721901170725078,0.0,0.20974256364210242,0.0,0.704365036222725,0.2693971477949123,0.2907300390241693,0.0,0.2693971477949123,0.0,0.3309932190414244,0.3979400086720376,0.5387942955898246,0.0,0.0,0.0,0.2907300390241693,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.6619864380828488,0.0,0.0,0.0,0.0,0.8750612633917001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negativo
13,0.47712125471966244,0.47712125471966244,0.062147906748844434,0.22184874961635637,0.2907300390241693,0.0,0.029963223377443202,0.17609125905568124,0.3521825181113625,0.2693971477949123,0.0,0.0,0.0,0.0,0.3309932190414244,0.0,0.13469857389745615,0.6989700043360189,0.0,0.0,0.09691001300805642,0.09691001300805642,0.27300127206373764,0.8750612633917001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1760912590556813,0.0,Negativo
14,0.0,0.0,0.24859162699537773,0.0,0.3876400520322257,0.0,0.059926446754886405,0.17609125905568124,0.3521825181113625,0.0,0.4845500650402821,0.0,0.0,0.5740312677277188,0.0,0.0,0.2693971477949123,0.0,0.0,0.0,0.19382002601611284,0.19382002601611284,0.0,0.0,0.3309932190414244,0.0,0.0,0.0,0.0,0.5740312677277188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750612633917001,0.0,0.0,0.0,0.0,Negativo
15,0.0,0.0,0.0,0.0,0.3876400520322257,0.0,0.059926446754886405,0.0,0.0,0.0,0.0,0.0,0.40409572169236846,0.0,0.3309932190414244,0.0,0.13469857389745615,0.0,0.0,0.0,0.0,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750612633917001,0.0,1.1760912590556813,Negativo
